OrderID,OrderDate,Region,SalesRep,Customer,Product,Category,UnitPrice,Quantity,Discount,Cost,Status
SO-11285,2024-01-01,East,Daniel Park,Gringotts LLC,Office Suite,Software,199,3,0.15,59.7,Cancelled
SO-10110,2024-01-02,South,Marco Rossi,Weyland Industries,Antivirus 1y,Software,49,3,0.05,14.7,Closed Won
SO-10277,2024-01-02,Central,Olivia Brown,Tyrell GmbH,Onsite Training,Services,1500,2,0.0,600.0,Refunded
SO-10912,2024-01-02,East,Sofia Lindqvist,Wonka GmbH,Project Tracker,Software,129,2,0.0,38.7,Pending
SO-11288,2024-01-02,North,Liam O'Connor,Gringotts Corp,Premium Support,Services,899,4,0.1,359.6,Pending
SO-10169,2024-01-03,Central,Ravi Patel,Aperture Corp,USB-C Hub,Accessories,59,3,0.0,32.45,Closed Won
SO-10711,2024-01-04,South,Tom Nguyen,Soylent Industries,"Monitor 27""",Hardware,329,2,0.0,236.88,Closed Won
SO-11208,2024-01-04,North,Liam O'Connor,Umbrella Holdings,Laptop Pro 16,Hardware,1899,1,0.0,1367.28,Closed Won
SO-10475,2024-01-05,South,Tom Nguyen,Initech Group,Data Migration,Services,1200,1,0.05,480.0,Closed Won
SO-11493,2024-01-05,South,Marco Rossi,Rekall Holdings,Premium Support,Services,899,2,0.0,359.6,Closed Won
SO-11855,2024-01-05,Central,Olivia Brown,Massive Dynamic Group,Webcam HD,Accessories,89,4,0.0,48.95,Closed Won
SO-10161,2024-01-06,West,Carlos Mendes,Oscorp Group,Mechanical Keyboard,Accessories,119,2,0.0,65.45,Refunded
SO-11097,2024-01-06,Central,Olivia Brown,Gringotts Corp,Design Suite,Software,599,2,0.2,179.7,Closed Won
SO-11178,2024-01-06,North,Anna Becker,Cyberdyne Corp,Docking Station,Hardware,189,25,0.0,136.08,Closed Won
SO-10034,2024-01-07,South,Tom Nguyen,Soylent Partners,Office Suite,Software,199,2,0.0,59.7,Closed Won
SO-10127,2024-01-07,South,Tom Nguyen,Massive Dynamic LLC,Onsite Training,Services,1500,1,0.1,600.0,Closed Won
SO-10721,2024-01-07,East,Daniel Park,Soylent Group,VPN 1y,Software,69,1,0.05,20.7,Closed Won
SO-10856,2024-01-07,North,Anna Becker,Wonka Partners,Project Tracker,Software,129,1,0.0,38.7,Closed Won
SO-10923,2024-01-07,North,Liam O'Connor,Aperture Holdings,Desktop Mini,Hardware,899,10,0.0,647.28,Closed Won
SO-10834,2024-01-08,North,Liam O'Connor,Gringotts Group,USB-C Hub,Accessories,59,1,0.0,32.45,Closed Won
SO-11024,2024-01-08,South,Yara Haddad,Acme Partners,Wireless Mouse,Accessories,39,4,0.2,21.45,Closed Won
SO-11077,2024-01-08,Central,Eva Schmidt,Globex Holdings,"Monitor 27""",Hardware,329,15,0.1,236.88,Closed Won
SO-11728,2024-01-08,East,Daniel Park,Wonka LLC,Premium Support,Services,899,4,0.1,359.6,Pending
SO-10460,2024-01-09,West,Hannah Cohen,Oscorp GmbH,Headset Pro,Accessories,149,1,0.0,81.95,Closed Won
SO-11959,2024-01-09,South,Yara Haddad,Soylent GmbH,Laptop Pro 16,Hardware,1899,10,0.0,1367.28,Closed Won
SO-10891,2024-01-10,East,Daniel Park,Umbrella Holdings,"Monitor 32""",Hardware,549,1,0.15,395.28,Refunded
SO-10955,2024-01-10,East,Amaya Suzuki,Weyland Partners,Laptop Pro 14,Hardware,1299,2,0.0,935.28,Closed Won
SO-11554,2024-01-10,South,Yara Haddad,Aperture Partners,USB-C Hub,Accessories,59,1,0.05,32.45,Pending
SO-11555,2024-01-10,South,Marco Rossi,Rekall Holdings,Laptop Pro 14,Hardware,1299,15,0.1,935.28,Cancelled
SO-10281,2024-01-12,North,Liam O'Connor,Wonka Group,Wireless Mouse,Accessories,39,2,0.0,21.45,Closed Won
SO-10625,2024-01-12,West,Carlos Mendes,Gringotts Corp,"Monitor 32""",Hardware,549,5,0.0,395.28,Closed Won
SO-11593,2024-01-12,East,Daniel Park,Wonka Partners,USB-C Hub,Accessories,59,4,0.05,32.45,Closed Won
SO-11333,2024-01-13,Central,Eva Schmidt,Initech Group,Design Suite,Software,599,15,0.05,179.7,Closed Won
SO-11438,2024-01-13,South,Tom Nguyen,Gringotts Partners,VPN 1y,Software,69,1,0.05,20.7,Closed Won
SO-11640,2024-01-14,Central,Ravi Patel,Rekall Corp,Setup Service,Services,249,1,0.0,99.6,Closed Won
SO-10590,2024-01-15,Central,Eva Schmidt,Cyberdyne Group,Headset Pro,Accessories,149,3,0.0,81.95,Refunded
SO-11451,2024-01-15,South,Tom Nguyen,Black Mesa Corp,Office Suite,Software,199,1,0.0,59.7,Closed Won
SO-11134,2024-01-16,South,Tom Nguyen,Aperture Holdings,Docking Station,Hardware,189,2,0.05,136.08,Closed Won
SO-10145,2024-01-17,West,Jin Wei,Pied Piper Group,Onsite Training,Services,1500,8,0.0,600.0,Closed Won
SO-10610,2024-01-17,North,Anna Becker,Gringotts GmbH,Laptop Pro 14,Hardware,1299,3,0.0,935.28,Closed Won
SO-11444,2024-01-17,East,Sofia Lindqvist,Massive Dynamic Ltd,Desktop Mini,Hardware,899,3,0.05,647.28,Refunded
SO-11633,2024-01-17,North,Anna Becker,Acme Partners,Desktop Mini,Hardware,899,1,0.0,647.28,Closed Won
SO-11653,2024-01-17,South,Yara Haddad,Gringotts LLC,Design Suite,Software,599,8,0.0,179.7,Closed Won
SO-11624,2024-01-18,North,Anna Becker,Hooli GmbH,Mechanical Keyboard,Accessories,119,2,0.05,65.45,Closed Won
SO-11726,2024-01-18,North,Anna Becker,Aperture Partners,Office Suite,Software,199,8,0.0,59.7,Closed Won
SO-10105,2024-01-19,West,Carlos Mendes,Umbrella GmbH,Onsite Training,Services,1500,3,0.0,600.0,Closed Won
SO-10504,2024-01-19,South,Marco Rossi,Wonka Group,Webcam HD,Accessories,89,3,0.15,48.95,Closed Won
SO-11046,2024-01-19,Central,Olivia Brown,Globex Corp,Office Suite,Software,199,2,0.0,59.7,Cancelled
SO-11311,2024-01-19,Central,Eva Schmidt,Oscorp GmbH,Desktop Mini,Hardware,899,2,0.0,647.28,Closed Won
SO-11880,2024-01-19,North,Liam O'Connor,Gringotts LLC,Design Suite,Software,599,1,0.05,179.7,Closed Won
SO-11889,2024-01-19,North,Liam O'Connor,Globex Corp,"Monitor 32""",Hardware,549,1,0.0,395.28,Closed Won
SO-10098,2024-01-20,South,Tom Nguyen,Gringotts Corp,"Monitor 32""",Hardware,549,10,0.0,395.28,Closed Won
SO-11276,2024-01-20,West,Jin Wei,Gringotts Partners,Data Migration,Services,1200,1,0.0,480.0,Cancelled
SO-11666,2024-01-21,North,Liam O'Connor,Oscorp GmbH,Setup Service,Services,249,8,0.15,99.6,Closed Won
SO-11682,2024-01-21,North,Priya Sharma,Rekall Corp,Wireless Mouse,Accessories,39,1,0.0,21.45,Closed Won
SO-11390,2024-01-22,Central,Olivia Brown,Acme Industries,Webcam HD,Accessories,89,2,0.05,48.95,Closed Won
SO-11099,2024-01-23,North,Anna Becker,Gringotts GmbH,Laptop Pro 14,Hardware,1299,2,0.15,935.28,Closed Won
SO-10405,2024-01-24,Central,Eva Schmidt,Wonka GmbH,Design Suite,Software,599,3,0.1,179.7,Closed Won
SO-10942,2024-01-24,South,Marco Rossi,Aperture Partners,Premium Support,Services,899,8,0.05,359.6,Closed Won
SO-11265,2024-01-24,South,Tom Nguyen,Tyrell Ltd,Wireless Mouse,Accessories,39,5,0.0,21.45,Closed Won
SO-10684,2024-01-25,West,Carlos Mendes,Pied Piper Holdings,VPN 1y,Software,69,2,0.0,20.7,Closed Won
SO-10452,2024-01-26,Central,Ravi Patel,Globex LLC,Onsite Training,Services,1500,2,0.0,600.0,Closed Won
SO-11947,2024-01-26,East,Amaya Suzuki,Globex Corp,Office Suite,Software,199,1,0.0,59.7,Pending
SO-10035,2024-01-27,North,Liam O'Connor,Black Mesa Ltd,Headset Pro,Accessories,149,2,0.0,81.95,Closed Won
SO-10133,2024-01-27,East,Sofia Lindqvist,Aperture Group,Headset Pro,Accessories,149,4,0.1,81.95,Closed Won
SO-10339,2024-01-27,North,Liam O'Connor,Aperture Partners,Wireless Mouse,Accessories,39,10,0.0,21.45,Closed Won
SO-11942,2024-01-27,South,Marco Rossi,Weyland GmbH,Setup Service,Services,249,1,0.1,99.6,Closed Won
SO-10963,2024-01-28,South,Marco Rossi,Oscorp GmbH,Desktop Mini,Hardware,899,5,0.1,647.28,Closed Won
SO-10896,2024-01-29,West,Jin Wei,Tyrell LLC,Premium Support,Services,899,2,0.05,359.6,Refunded
SO-11523,2024-01-29,Central,Olivia Brown,Umbrella Holdings,Antivirus 1y,Software,49,5,0.0,14.7,Closed Won
SO-11875,2024-01-29,East,Daniel Park,Weyland Holdings,Onsite Training,Services,1500,1,0.0,600.0,Closed Won
SO-10787,2024-01-30,Central,Ravi Patel,Rekall Corp,Premium Support,Services,899,10,0.1,359.6,Closed Won
SO-10195,2024-01-31,North,Liam O'Connor,Stark Corp,Mechanical Keyboard,Accessories,119,3,0.0,65.45,Closed Won
SO-10652,2024-01-31,East,Amaya Suzuki,Tyrell Holdings,Premium Support,Services,899,1,0.0,359.6,Closed Won
SO-10808,2024-01-31,South,Marco Rossi,Pied Piper Group,Antivirus 1y,Software,49,5,0.1,14.7,Pending
SO-11232,2024-01-31,North,Liam O'Connor,Soylent Industries,Premium Support,Services,899,2,0.0,359.6,Closed Won
SO-10274,2024-02-01,North,Liam O'Connor,Gringotts Partners,"Monitor 27""",Hardware,329,1,0.05,236.88,Closed Won
SO-10344,2024-02-01,South,Yara Haddad,Acme Partners,USB-C Hub,Accessories,59,25,0.0,32.45,Closed Won
SO-11085,2024-02-01,Central,Eva Schmidt,Wayne Corp,Laptop Pro 14,Hardware,1299,3,0.15,935.28,Cancelled
SO-11163,2024-02-01,North,Priya Sharma,Tyrell Partners,Webcam HD,Accessories,89,1,0.1,48.95,Closed Won
