OrderNumber,Date,InvoiceType,CustomerCode,Customer,BranchCode,Branch,Area,SalesRep,Brand,Category,SalesQuantity,SalesValue
SO-100567,2024-01-01,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Bakehouse Co,Food,12,8884.44
SO-100885,2024-01-01,Return,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,Zaytoona,Food,-3,-4050.57
SO-100897,2024-01-02,Sales,1008,Nesto Hypermarket,50033,Nesto Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,SunHarvest,Food,2,1169.36
SO-101055,2024-01-02,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,SunHarvest,Food,5,3097.2
SO-101535,2024-01-02,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Zaytoona,Food,1,1389.95
SO-101885,2024-01-02,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Cedarna,Food,1,1187.7
SO-100485,2024-01-03,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,Cleanova,HPC,1,1273.74
SO-100349,2024-01-04,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,FreshLine,HPC,1,1079.29
SO-100991,2024-01-04,Sales,1001,Carrefour,50003,Carrefour - Satwa,Satwa,Mohammed Saleh,Mintleaf,HPC,2,1716.56
SO-100746,2024-01-05,Sales,1009,West Zone Supermarket,50037,West Zone Supermarket - Al Qusais,Al Qusais,Anjali Menon,Verdé,HPC,1,2155.58
SO-100933,2024-01-05,Return,1011,Aswaaq,50047,Aswaaq - Festival City,Festival City,Omar Haddad,DeliMia,Food,-3,-2873.67
SO-101229,2024-01-05,Sales,1004,Choithrams,50014,Choithrams - Dubai Marina,Dubai Marina,Fatima Khan,Marhaba Gold,Food,5,2945.6
SO-101552,2024-01-05,Return,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,FreshLine,HPC,-1,-1007.78
SO-101849,2024-01-05,Sales,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Goldenfields,Food,1,850.4
SO-100339,2024-01-06,Sales,1015,Safeer Market,50066,Safeer Market - Festival City,Festival City,Omar Haddad,Verdé,HPC,12,25981.32
SO-101086,2024-01-06,Sales,1004,Choithrams,50012,Choithrams - Mirdif,Mirdif,Vikram Nair,PureGlow,HPC,2,4815.62
SO-100197,2024-01-07,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,Caressa,HPC,12,18066.96
SO-101280,2024-01-07,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,PureGlow,HPC,20,60328.8
SO-101795,2024-01-07,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,FreshLine,HPC,2,1907.16
SO-100691,2024-01-08,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,PureGlow,HPC,60,137108.4
SO-101118,2024-01-08,Sales,1014,Day to Day,50061,Day to Day - Motor City,Motor City,Rashid Al Marzooqi,FreshLine,HPC,3,2852.91
SO-101087,2024-01-09,Sales,1002,Lulu Hypermarket,50005,Lulu Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Crunchio,Food,8,3568.24
SO-101545,2024-01-10,Sales,1002,Lulu Hypermarket,50006,Lulu Hypermarket - Deira,Deira,Rashid Al Marzooqi,Silkene,HPC,5,8819.15
